id,nutrient_nbr,rank,name_with_unit
1127,343.0,8200.0,"Tocopherol, delta (MG)"
1128,344.0,8300.0,"Tocotrienol, alpha (MG)"
1129,345.0,8400.0,"Tocotrienol, beta (MG)"
1130,346.0,8500.0,"Tocotrienol, gamma (MG)"
1131,347.0,8600.0,"Tocotrienol, delta (MG)"
1132,348.0,999999.0,"Aluminum, Al (UG)"
1133,349.0,999999.0,"Antimony, Sb (UG)"
1134,350.0,999999.0,"Arsenic, As (UG)"
1135,351.0,999999.0,"Barium, Ba (UG)"
1136,352.0,999999.0,"Beryllium, Be (UG)"
1137,354.0,6245.0,"Boron, B (UG)"
1138,355.0,999999.0,"Bromine, Br (UG)"
1139,356.0,999999.0,"Cadmium, Cd (UG)"
1140,363.0,999999.0,"Gold, Au (UG)"
1141,364.0,999999.0,"Iron, heme (MG)"
1142,365.0,999999.0,"Iron, non-heme (MG)"
1143,367.0,999999.0,"Lead, Pb (UG)"
1144,368.0,999999.0,"Lithium, Li (UG)"
1145,370.0,999999.0,"Mercury, Hg (UG)"
1146,371.0,6242.0,"Nickel, Ni (UG)"
1147,373.0,999999.0,"Rubidium, Rb (UG)"
1148,374.0,6250.0,Fluoride - DO NOT USE; use 313 (UG)
1149,375.0,999999.0,"Salt, NaCl (MG)"
1150,378.0,999999.0,"Silicon, Si (UG)"
1151,379.0,999999.0,"Silver, Ag (UG)"
1152,380.0,999999.0,"Strontium, Sr (UG)"
1153,385.0,999999.0,"Tin, Sn (UG)"
1154,386.0,999999.0,"Titanium, Ti (UG)"
1155,389.0,999999.0,"Vanadium, V (UG)"
1156,392.0,7500.0,"Vitamin A, RE (MCG_RE)"
1157,393.0,7600.0,Carotene (MCG_RE)
1158,394.0,7800.0,Vitamin E (MG_ATE)
1159,321.1,7442.0,cis-beta-Carotene (UG)
1160,337.1,7532.0,cis-Lycopene (UG)
1161,338.3,7561.0,cis-Lutein/Zeaxanthin (UG)
1162,401.0,6300.0,"Vitamin C, total ascorbic acid (MG)"
1163,402.0,999999.0,"Vitamin C, reduced ascorbic acid (MG)"
1164,403.0,999999.0,"Vitamin C, dehydro ascorbic acid (MG)"
1165,404.0,6400.0,Thiamin (MG)
1166,405.0,6500.0,Riboflavin (MG)
1167,406.0,6600.0,Niacin (MG)
1168,407.0,999999.0,"Niacin from tryptophan, determined (MG)"
1169,409.0,999999.0,Niacin equivalent N406 +N407 (MG)
1170,410.0,6700.0,Pantothenic acid (MG)
1171,411.0,999999.0,"Vitamin B-6, pyridoxine, alcohol form (MG)"
1172,412.0,999999.0,"Vitamin B-6, pyridoxal, aldehyde form (MG)"
1173,413.0,999999.0,"Vitamin B-6, pyridoxamine, amine form (MG)"
1174,414.0,999999.0,"Vitamin B-6, N411 + N412 +N413 (MG)"
1175,415.0,6800.0,Vitamin B-6 (MG)
1176,416.0,6850.0,Biotin (UG)
1177,417.0,6900.0,"Folate, total (UG)"
1178,418.0,7300.0,Vitamin B-12 (UG)
1179,419.0,999999.0,"Folate, free (UG)"
1180,421.0,7220.0,"Choline, total (MG)"
1181,422.0,2800.0,Inositol (MG)
1182,423.0,999999.0,Inositol phosphate (MG)
1183,428.0,8950.0,Vitamin K (Menaquinone-4) (UG)
1184,429.0,8900.0,Vitamin K (Dihydrophylloquinone) (UG)
