Alanine (G),"Alcohol, ethyl (G)",Arginine (G),Ash (G),Aspartic acid (G),Beta-sitosterol (MG),Betaine (MG),Caffeine (MG),"Calcium, Ca (MG)",Campesterol (MG),"Carbohydrate, by difference (G)","Carotene, alpha (UG)","Carotene, beta (UG)",Cholesterol (MG),"Choline, total (MG)","Copper, Cu (MG)","Cryptoxanthin, beta (UG)",Cystine (G),Energy (KCAL),"Fatty acids, total monounsaturated (G)","Fatty acids, total polyunsaturated (G)","Fatty acids, total saturated (G)","Fatty acids, total trans (G)","Fatty acids, total trans-monoenoic (G)","Fatty acids, total trans-polyenoic (G)","Fiber, total dietary (G)","Fluoride, F (UG)","Folate, DFE (UG)","Folate, food (UG)","Folate, total (UG)",Folic acid (UG),Fructose (G),Galactose (G),Glucose (G),Glutamic acid (G),Glycine (G),Histidine (G),Hydroxyproline (G),"Iron, Fe (MG)",Isoleucine (G),Lactose (G),Leucine (G),Lutein + zeaxanthin (UG),Lycopene (UG),Lysine (G),MUFA 14:1 (G),MUFA 15:1 (G),MUFA 16:1 (G),MUFA 17:1 (G),MUFA 18:1 (G),MUFA 20:1 (G),MUFA 22:1 (G),MUFA 24:1 (G),"Magnesium, Mg (MG)",Maltose (G),"Manganese, Mn (MG)",Methionine (G),Niacin (MG),PUFA 18:2 (G),PUFA 18:3 (G),PUFA 18:4 (G),PUFA 20:2 (G),PUFA 20:3 (G),PUFA 20:4 (G),PUFA 20:5 (G),PUFA 21:5 (G),PUFA 22:4 (G),PUFA 22:5 (G),PUFA 22:6 (G),PUFA 2:4 (G),Pantothenic acid (MG),Phenylalanine (G),"Phosphorus, P (MG)",Phytosterols (MG),"Potassium, K (MG)",Proline (G),Protein (G),Retinol (UG),Riboflavin (MG),SFA 10:0 (G),SFA 12:0 (G),SFA 13:0 (G),SFA 14:0 (G),SFA 15:0 (G),SFA 16:0 (G),SFA 17:0 (G),SFA 18:0 (G),SFA 20:0 (G),SFA 22:0 (G),SFA 24:0 (G),SFA 4:0 (G),SFA 6:0 (G),SFA 8:0 (G),"Selenium, Se (UG)",Serine (G),"Sodium, Na (MG)",Starch (G),Stigmasterol (MG),Sucrose (G),TFA 16:1 t (G),TFA 18:1 t (G),TFA 22:1 t (G),Theobromine (MG),Thiamin (MG),Threonine (G),Total Sugars (G),Total lipid (fat) (G),Tryptophan (G),Tyrosine (G),Valine (G),"Vitamin A, RAE (UG)",Vitamin B-12 (UG),Vitamin B-6 (MG),"Vitamin C, total ascorbic acid (MG)",Vitamin D (D2 + D3) (UG),Water (G),"Zinc, Zn (MG)",allergens,category,diets,min_age_months,name,weight (G),Vitamin K (UG),Vitamin E (MG),TFA 18:2 t (G),alkalinity Ph (0-14)
0.993,,1.345,1.05,,,,,18.0,,,,,66.0,,0.116,,0.262,142.0,2.009,0.416,2.764,0.249,0.249,,,,,,,,,,,2.792,0.854,0.423,,1.52,0.895,,1.543,,,1.745,0.008,,0.07,,1.93,0.002,,,23.0,,0.009,0.652,5.397,0.217,0.114,,0.007,0.007,0.026,0.021,,,0.018,0.007,0.026,0.525,0.787,189.0,,327.0,0.641,19.98,5.0,0.154,0.014,0.017,,0.19,,1.172,0.116,1.238,0.007,0.01,,,,,5.5,0.681,77.0,,,,0.009,0.24,,,0.119,0.953,,6.88,0.221,0.692,1.018,5.0,1.9,0.16,,,71.4,2.69,,"Lamb, Veal, and Game Products",High-Protein,24,"Lamb, New Zealand, imported, loin chop, separable lean only, raw",100,,0.22,,5.7
0.993,,1.345,1.05,,,,,18.0,,,,,66.0,,0.116,,0.262,142.0,2.009,0.416,2.764,0.249,0.249,,,,,,,,,,,2.792,0.854,0.423,,1.52,0.895,,1.543,,,1.745,0.008,,0.07,,1.93,0.002,,,23.0,,0.009,0.652,5.397,0.217,0.114,,0.007,0.007,0.026,0.021,,,0.018,0.007,0.026,0.525,0.787,189.0,,327.0,0.641,19.98,5.0,0.154,0.014,0.017,,0.19,,1.172,0.116,1.238,0.007,0.01,,,,,5.5,0.681,77.0,,,,0.009,0.24,,,0.119,0.953,,6.88,0.221,0.692,1.018,5.0,1.9,0.16,,,71.4,2.69,,"Lamb, Veal, and Game Products",High-Protein,24,"Lamb, New Zealand, imported, loin chop, separable lean only, raw",100,,0.22,,5.7
