Alanine (G),"Alcohol, ethyl (G)",Arginine (G),Ash (G),Aspartic acid (G),Beta-sitosterol (MG),Betaine (MG),Caffeine (MG),"Calcium, Ca (MG)",Campesterol (MG),"Carbohydrate, by difference (G)","Carotene, alpha (UG)","Carotene, beta (UG)",Cholesterol (MG),"Choline, total (MG)","Copper, Cu (MG)","Cryptoxanthin, beta (UG)",Cystine (G),Energy (KCAL),"Fatty acids, total monounsaturated (G)","Fatty acids, total polyunsaturated (G)","Fatty acids, total saturated (G)","Fatty acids, total trans (G)","Fatty acids, total trans-monoenoic (G)","Fatty acids, total trans-polyenoic (G)","Fiber, total dietary (G)","Fluoride, F (UG)","Folate, DFE (UG)","Folate, food (UG)","Folate, total (UG)",Folic acid (UG),Fructose (G),Galactose (G),Glucose (G),Glutamic acid (G),Glycine (G),Histidine (G),Hydroxyproline (G),"Iron, Fe (MG)",Isoleucine (G),Lactose (G),Leucine (G),Lutein + zeaxanthin (UG),Lycopene (UG),Lysine (G),MUFA 14:1 (G),MUFA 15:1 (G),MUFA 16:1 (G),MUFA 17:1 (G),MUFA 18:1 (G),MUFA 20:1 (G),MUFA 22:1 (G),MUFA 24:1 (G),"Magnesium, Mg (MG)",Maltose (G),"Manganese, Mn (MG)",Methionine (G),Niacin (MG),PUFA 18:2 (G),PUFA 18:3 (G),PUFA 18:4 (G),PUFA 20:2 (G),PUFA 20:3 (G),PUFA 20:4 (G),PUFA 20:5 (G),PUFA 21:5 (G),PUFA 22:4 (G),PUFA 22:5 (G),PUFA 22:6 (G),PUFA 2:4 (G),Pantothenic acid (MG),Phenylalanine (G),"Phosphorus, P (MG)",Phytosterols (MG),"Potassium, K (MG)",Proline (G),Protein (G),Retinol (UG),Riboflavin (MG),SFA 10:0 (G),SFA 12:0 (G),SFA 13:0 (G),SFA 14:0 (G),SFA 15:0 (G),SFA 16:0 (G),SFA 17:0 (G),SFA 18:0 (G),SFA 20:0 (G),SFA 22:0 (G),SFA 24:0 (G),SFA 4:0 (G),SFA 6:0 (G),SFA 8:0 (G),"Selenium, Se (UG)",Serine (G),"Sodium, Na (MG)",Starch (G),Stigmasterol (MG),Sucrose (G),TFA 16:1 t (G),TFA 18:1 t (G),TFA 22:1 t (G),Theobromine (MG),Thiamin (MG),Threonine (G),Total Sugars (G),Total lipid (fat) (G),Tryptophan (G),Tyrosine (G),Valine (G),"Vitamin A, RAE (UG)",Vitamin B-12 (UG),Vitamin B-6 (MG),"Vitamin C, total ascorbic acid (MG)",Vitamin D (D2 + D3) (UG),Water (G),"Zinc, Zn (MG)",allergens,category,diets,min_age_months,name,weight (G),Vitamin K (UG),Vitamin E (MG),TFA 18:2 t (G),alkalinity Ph (0-14)
0.255,,0.359,1.85,0.61,,15.4,,52.0,,32.92,,,2.0,26.8,0.174,,0.098,206.0,2.184,0.551,3.174,,,,,,,,40.0,,,,,1.469,0.251,0.172,,2.08,0.27,,0.504,,,0.343,,,,,2.184,,,,40.0,,0.4,0.107,1.87,0.439,0.112,,,,,,,,,,,0.92,0.351,45.0,,301.0,0.463,6.48,,0.28,,,,0.23,,1.965,,0.98,,,,,,,10.1,0.351,454.0,,,,,,,,0.29,0.244,,6.22,0.079,0.192,0.319,,0.5,0.14,0.9,,52.53,0.7,Cereals containing gluten,Fast Foods,"High-Protein,Vegan,Vegetarian",24,"Fast foods, burrito, with beans",100,,,,6.0
0.255,,0.359,1.85,0.61,,15.4,,52.0,,32.92,,,2.0,26.8,0.174,,0.098,206.0,2.184,0.551,3.174,,,,,,,,40.0,,,,,1.469,0.251,0.172,,2.08,0.27,,0.504,,,0.343,,,,,2.184,,,,40.0,,0.4,0.107,1.87,0.439,0.112,,,,,,,,,,,0.92,0.351,45.0,,301.0,0.463,6.48,,0.28,,,,0.23,,1.965,,0.98,,,,,,,10.1,0.351,454.0,,,,,,,,0.29,0.244,,6.22,0.079,0.192,0.319,,0.5,0.14,0.9,,52.53,0.7,"Cereals containing gluten,Soybeans",Fast Foods,"High-Protein,Vegan,Vegetarian",24,"Fast foods, burrito, with beans",100,,,,6.0
