Alanine (G),"Alcohol, ethyl (G)",Arginine (G),Ash (G),Aspartic acid (G),Beta-sitosterol (MG),Betaine (MG),Caffeine (MG),"Calcium, Ca (MG)",Campesterol (MG),"Carbohydrate, by difference (G)","Carotene, alpha (UG)","Carotene, beta (UG)",Cholesterol (MG),"Choline, total (MG)","Copper, Cu (MG)","Cryptoxanthin, beta (UG)",Cystine (G),Energy (KCAL),"Fatty acids, total monounsaturated (G)","Fatty acids, total polyunsaturated (G)","Fatty acids, total saturated (G)","Fatty acids, total trans (G)","Fatty acids, total trans-monoenoic (G)","Fatty acids, total trans-polyenoic (G)","Fiber, total dietary (G)","Fluoride, F (UG)","Folate, DFE (UG)","Folate, food (UG)","Folate, total (UG)",Folic acid (UG),Fructose (G),Galactose (G),Glucose (G),Glutamic acid (G),Glycine (G),Histidine (G),Hydroxyproline (G),"Iron, Fe (MG)",Isoleucine (G),Lactose (G),Leucine (G),Lutein + zeaxanthin (UG),Lycopene (UG),Lysine (G),MUFA 14:1 (G),MUFA 15:1 (G),MUFA 16:1 (G),MUFA 17:1 (G),MUFA 18:1 (G),MUFA 20:1 (G),MUFA 22:1 (G),MUFA 24:1 (G),"Magnesium, Mg (MG)",Maltose (G),"Manganese, Mn (MG)",Methionine (G),Niacin (MG),PUFA 18:2 (G),PUFA 18:3 (G),PUFA 18:4 (G),PUFA 20:2 (G),PUFA 20:3 (G),PUFA 20:4 (G),PUFA 20:5 (G),PUFA 21:5 (G),PUFA 22:4 (G),PUFA 22:5 (G),PUFA 22:6 (G),PUFA 2:4 (G),Pantothenic acid (MG),Phenylalanine (G),"Phosphorus, P (MG)",Phytosterols (MG),"Potassium, K (MG)",Proline (G),Protein (G),Retinol (UG),Riboflavin (MG),SFA 10:0 (G),SFA 12:0 (G),SFA 13:0 (G),SFA 14:0 (G),SFA 15:0 (G),SFA 16:0 (G),SFA 17:0 (G),SFA 18:0 (G),SFA 20:0 (G),SFA 22:0 (G),SFA 24:0 (G),SFA 4:0 (G),SFA 6:0 (G),SFA 8:0 (G),"Selenium, Se (UG)",Serine (G),"Sodium, Na (MG)",Starch (G),Stigmasterol (MG),Sucrose (G),TFA 16:1 t (G),TFA 18:1 t (G),TFA 22:1 t (G),Theobromine (MG),Thiamin (MG),Threonine (G),Total Sugars (G),Total lipid (fat) (G),Tryptophan (G),Tyrosine (G),Valine (G),"Vitamin A, RAE (UG)",Vitamin B-12 (UG),Vitamin B-6 (MG),"Vitamin C, total ascorbic acid (MG)",Vitamin D (D2 + D3) (UG),Water (G),"Zinc, Zn (MG)",allergens,category,diets,min_age_months,name,weight (G),Vitamin K (UG),Vitamin E (MG),TFA 18:2 t (G),alkalinity Ph (0-14)
0.333,,0.378,1.3,0.479,,,,19.0,,55.2,,1.0,,14.6,0.163,2.0,0.21,274.0,0.175,0.671,0.274,,,,2.3,,174.0,21.0,111.0,90.0,,,,3.24,0.343,0.217,,3.8,0.367,,0.671,54.0,,0.238,,,0.014,,0.161,,,,28.0,,0.876,0.179,3.08,0.632,0.039,,,,,,,,,,,0.509,0.474,100.0,,148.0,1.08,9.8,21.0,0.277,,0.001,,0.003,,0.251,,0.02,,,,,,,31.0,0.481,407.0,,,,,,,,0.384,0.285,5.98,1.7,0.114,0.272,0.424,21.0,,0.062,0.7,,32.0,1.13,Cereals containing gluten,Baked Products,"Vegan,Vegetarian,Vitamin-Rich",24,"Bagels, cinnamon-raisin",100,0.7,0.31,,5.5
0.333,,0.378,1.3,0.479,,,,19.0,,55.2,,1.0,,14.6,0.163,2.0,0.21,274.0,0.175,0.671,0.274,,,,2.3,,174.0,21.0,111.0,90.0,,,,3.24,0.343,0.217,,3.8,0.367,,0.671,54.0,,0.238,,,0.014,,0.161,,,,28.0,,0.876,0.179,3.08,0.632,0.039,,,,,,,,,,,0.509,0.474,100.0,,148.0,1.08,9.8,21.0,0.277,,0.001,,0.003,,0.251,,0.02,,,,,,,31.0,0.481,407.0,,,,,,,,0.384,0.285,5.98,1.7,0.114,0.272,0.424,21.0,,0.062,0.7,,32.0,1.13,Cereals containing gluten,Baked Products,"Vegan,Vegetarian,Vitamin-Rich",24,"Bagels, cinnamon-raisin",100,0.7,0.31,,5.5
